zAbs,zMes,Ka,Kb,La,Lb,Ll,Ma,Mb
Be,W,0,0,1,0,0,108,97
Be,Re,0,0,1,0,0,96,86
Be,Os,0,0,1,0,0,85,76
Be,Ir,0,0,1,0,0,76,67
Be,Pt,0,0,0,0,0,68,60
Be,Au,0,0,0,0,0,61,54
Be,Hg,0,0,0,0,0,55,48
Be,Tl,0,0,0,0,0,49,43
Be,Pb,0,0,0,0,0,44,39
Be,Bi,0,0,0,0,0,40,35
Be,Po,0,0,0,0,0,0,0
Be,At,0,0,0,0,0,0,0
Be,Rn,0,0,0,0,0,0,0
Be,Fr,0,0,0,0,0,0,0
Be,Ra,0,0,0,0,0,0,0
Be,Ac,0,0,0,0,0,0,0
Be,Th,0,0,0,0,0,20,17
Be,Pa,0,0,0,0,0,18,15
Be,U,0,0,0,0,0,17,14
B,H,0,0,0,0,0,0,0
B,He,0,0,0,0,0,0,0
B,Li,0,0,0,0,0,0,0
B,Be,11676,0,0,0,0,0,0
B,B,2861,0,0,0,0,0,0
B,C,39834,0,0,0,0,0,0
B,N,16610,0,0,0,0,0,0
B,O,7754,0,0,0,0,0,0
B,F,3902,0,0,0,0,0,0
B,Ne,2074,0,0,0,0,0,0
B,Na,1154,1062,0,0,0,0,0
B,Mg,666,595,0,0,0,0,0
B,Al,399,346,0,0,0,0,0
B,Si,246,209,0,0,0,0,0
B,P,157,130,0,0,0,0,0
B,S,102,83,0,0,0,0,0
B,Cl,69,55,0,0,0,0,0
B,Ar,47,37,0,0,0,0,0
B,K,33,25,0,0,0,0,0
B,Ca,23,18,23681,23681,0,0,0
B,Sc,17,13,16289,15771,0,0,0
B,Ti,12,9,11495,11107,0,0,0
B,V,9,7,8330,7994,0,0,0
B,Cr,7,5,6138,5859,0,0,0
B,Mn,5,4,4610,4381,0,0,0
B,Fe,4,3,3490,3305,0,0,0
B,Co,3,2,2672,2533,0,0,0
B,Ni,3,2,2053,1941,0,0,0
B,Cu,2,1,1599,1504,0,0,0
B,Zn,2,1,1253,1173,0,0,0
B,Ga,1,1,987,919,0,0,0
B,Ge,1,1,782,725,0,0,0
B,As,1,1,624,575,0,0,0
B,Se,1,0,501,459,0,0,0
B,Br,1,0,404,368,0,0,0
B,Kr,0,0,327,297,0,0,0
B,Rb,0,0,268,241,0,0,0
B,Sr,0,0,219,197,0,0,0
B,Y,0,0,181,161,0,0,0
B,Zr,0,0,150,133,0,0,0
B,Nb,0,0,125,110,0,0,0
B,Mo,0,0,104,91,0,0,0
B,Tc,0,0,88,76,0,0,0
B,Ru,0,0,74,64,0,0,0
B,Rh,0,0,63,54,0,0,0
B,Pd,0,0,53,45,0,0,0
B,Ag,0,0,46,38,0,0,0
B,Cd,0,0,39,33,0,0,0
B,In,0,0,34,28,0,0,0
B,Sn,0,0,29,24,0,0,0
B,Sb,0,0,25,21,0,0,0
B,Te,0,0,22,18,0,0,0
B,I,0,0,19,15,0,0,0
B,Xe,0,0,17,0,0,0,0
B,Cs,0,0,15,11,0,0,0
B,Ba,0,0,13,10,0,0,0
B,La,0,0,11,9,0,2189,2040
B,Ce,0,0,10,8,0,1855,1745
B,Pr,0,0,9,7,0,1604,1504
B,Nd,0,0,8,6,0,1383,1308
B,Pm,0,0,7,5,0,0,0
B,Sm,0,0,6,5,0,1033,982
B,Eu,0,0,5,4,0,905,855
B,Gd,0,0,5,4,0,788,743
B,Tb,0,0,4,3,0,689,647
B,Dy,0,0,4,3,0,608,565
B,Ho,0,0,4,2,0,536,496
B,Er,0,0,3,2,0,472,437
B,Tm,0,0,3,2,0,420,386
B,Yb,0,0,3,2,0,372,339
B,Lu,0,0,2,2,0,331,301
B,Hf,0,0,2,1,0,293,266
B,Ta,0,0,2,1,0,260,235
B,W,0,0,2,1,0,232,209
B,Re,0,0,2,1,0,206,186
B,Os,0,0,1,1,0,185,166
B,Ir,0,0,1,1,0,165,147
B,Pt,0,0,1,1,0,148,132
B,Au,0,0,1,1,0,133,118
B,Hg,0,0,1,1,0,120,106
B,Tl,0,0,1,1,0,108,95
B,Pb,0,0,1,0,0,97,86
B,Bi,0,0,1,0,0,88,77
B,Po,0,0,1,0,0,0,0
B,At,0,0,1,0,0,0,0
B,Rn,0,0,1,0,0,0,0
B,Fr,0,0,1,0,0,0,0
B,Ra,0,0,1,0,0,0,0
B,Ac,0,0,0,0,0,0,0
B,Th,0,0,0,0,0,45,39
B,Pa,0,0,0,0,0,41,35
B,U,0,0,0,0,0,38,32
C,H,0,0,0,0,0,0,0
C,He,0,0,0,0,0,0,0
C,Li,0,0,0,0,0,0,0
C,Be,23228,0,0,0,0,0,0
C,B,5945,0,0,0,0,0,0
C,C,2147,0,0,0,0,0,0
C,N,23586,0,0,0,0,0,0
C,O,11575,0,0,0,0,0,0
C,F,6079,0,0,0,0,0,0
C,Ne,3354,0,0,0,0,0,0
C,Na,1929,1783,0,0,0,0,0
C,Mg,1147,1031,0,0,0,0,0
C,Al,704,616,0,0,0,0,0
C,Si,445,380,0,0,0,0,0
C,P,289,242,0,0,0,0,0
C,S,192,158,0,0,0,0,0
C,Cl,131,106,0,0,0,0,0
C,Ar,91,72,0,0,0,0,0
C,K,65,51,0,0,0,0,0
C,Ca,47,36,32820,32820,0,0,0
C,Sc,34,26,23160,22473,0,0,0
C,Ti,25,19,16728,16199,0,0,0
C,V,19,14,12377,11910,0,0,0
C,Cr,15,11,9300,8903,0,0,0
C,Mn,11,8,7109,6777,0,0,0
C,Fe,9,6,5474,5201,0,0,0
C,Co,7,5,4258,4049,0,0,0
C,Ni,5,4,3323,3152,0,0,0
C,Cu,4,3,2625,2478,0,0,0
C,Zn,4,3,2085,1960,0,0,0
C,Ga,3,2,1664,1555,0,0,0
C,Ge,2,2,1335,1242,0,0,0
C,As,2,1,1077,998,0,0,0
C,Se,2,1,875,806,0,0,0
C,Br,1,1,714,653,0,0,0
C,Kr,1,1,584,533,0,0,0
C,Rb,1,1,482,437,0,0,0
C,Sr,1,1,399,359,0,0,0
C,Y,1,0,332,297,0,0,0
C,Zr,1,0,277,247,0,0,0
C,Nb,0,0,233,206,0,0,0
C,Mo,0,0,196,172,0,0,0
C,Tc,0,0,166,145,0,0,0
C,Ru,0,0,141,122,0,0,0
C,Rh,0,0,120,104,0,0,0
C,Pd,0,0,103,88,0,0,0
C,Ag,0,0,89,75,0,0,0
C,Cd,0,0,76,64,0,0,0
C,In,0,0,66,55,0,0,0
C,Sn,0,0,57,48,0,0,0
C,Sb,0,0,50,41,0,0,0
C,Te,0,0,44,36,0,0,0
C,I,0,0,38,31,0,0,0
C,Xe,0,0,34,0,0,0,0
C,Cs,0,0,30,24,0,0,0
C,Ba,0,0,26,21,0,0,0
C,La,0,0,23,18,0,3529,3302
C,Ce,0,0,20,16,0,3019,2851
C,Pr,0,0,18,14,0,2633,2478
C,Nd,0,0,16,12,0,2289,2172
C,Pm,0,0,14,11,0,0,0
C,Sm,0,0,13,10,0,1738,1656
C,Eu,0,0,12,9,0,1532,1452
C,Gd,0,0,10,8,0,1345,1271
C,Tb,0,0,9,7,0,1184,1116
C,Dy,0,0,8,6,0,1051,981
C,Ho,0,0,8,5,0,934,868
C,Er,0,0,7,5,0,828,768
